sample_idx,opponent,strategy,chosen_action,predicted_opponent_action,actual_opponent_action,reward
34,Alternating,Explicit Opponent Simulation,D,D,D,1.0
35,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
35,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
36,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
36,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
37,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
37,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
38,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
38,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
39,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
39,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
40,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
40,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
41,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
41,Alternating,Explicit Opponent Simulation,D,C,C,5.0
42,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
42,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
43,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
43,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
44,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
44,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
45,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
45,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
46,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
46,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
47,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
47,Alternating,Explicit Opponent Simulation,D,C,C,5.0
48,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
48,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
49,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
49,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
50,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
50,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
51,Grim Trigger,Prompt-Based Opponent Reasoning,C,,C,3.0
51,Grim Trigger,Explicit Opponent Simulation,D,C,C,5.0
52,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
52,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
53,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
53,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
54,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
54,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
55,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
55,Alternating,Explicit Opponent Simulation,D,D,D,1.0
56,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
56,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
57,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
57,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
58,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
58,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
59,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
59,Alternating,Explicit Opponent Simulation,D,D,D,1.0
60,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
60,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
61,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
61,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
62,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
62,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
63,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
63,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
64,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
64,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
65,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
65,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
66,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
66,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
67,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
67,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
68,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
68,Alternating,Explicit Opponent Simulation,D,C,C,5.0
69,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
69,Alternating,Explicit Opponent Simulation,D,D,D,1.0
70,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
70,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
71,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
71,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
72,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
72,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
73,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
73,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
74,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
74,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
75,Grim Trigger,Prompt-Based Opponent Reasoning,C,,C,3.0
75,Grim Trigger,Explicit Opponent Simulation,D,C,C,5.0
76,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
76,Alternating,Explicit Opponent Simulation,D,C,C,5.0
77,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
77,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
78,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
78,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
79,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
79,Alternating,Explicit Opponent Simulation,D,C,C,5.0
80,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
80,Alternating,Explicit Opponent Simulation,D,D,D,1.0
81,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
81,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
82,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
82,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
83,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
83,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
84,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
84,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
85,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
85,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
86,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
86,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
87,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
87,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
88,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
88,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
89,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
89,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
90,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
90,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
91,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
91,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
92,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
92,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
93,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
93,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
94,Grim Trigger,Prompt-Based Opponent Reasoning,C,,C,3.0
94,Grim Trigger,Explicit Opponent Simulation,D,C,C,5.0
95,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
95,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
96,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
96,Alternating,Explicit Opponent Simulation,D,C,C,5.0
97,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
97,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
98,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
98,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
99,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
99,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
100,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
100,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
101,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
101,Alternating,Explicit Opponent Simulation,D,C,C,5.0
102,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
102,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
103,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
103,Alternating,Explicit Opponent Simulation,D,C,C,5.0
104,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
104,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
105,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
105,Alternating,Explicit Opponent Simulation,D,C,C,5.0
106,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
106,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
107,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
107,Alternating,Explicit Opponent Simulation,D,D,D,1.0
108,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
108,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
109,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
109,Alternating,Explicit Opponent Simulation,D,D,D,1.0
110,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
110,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
111,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
111,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
112,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
112,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
113,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
113,Alternating,Explicit Opponent Simulation,D,D,D,1.0
114,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
114,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
115,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
115,Alternating,Explicit Opponent Simulation,D,D,D,1.0
116,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
116,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
117,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
117,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
118,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
118,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
119,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
119,Alternating,Explicit Opponent Simulation,D,C,C,5.0
120,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
120,Alternating,Explicit Opponent Simulation,D,D,D,1.0
121,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
121,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
122,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
122,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
123,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
123,Alternating,Explicit Opponent Simulation,D,C,C,5.0
124,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
124,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
125,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
125,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
126,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
126,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
127,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
127,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
128,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
128,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
129,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
129,Alternating,Explicit Opponent Simulation,D,D,D,1.0
130,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
130,Alternating,Explicit Opponent Simulation,D,D,D,1.0
131,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
131,Alternating,Explicit Opponent Simulation,D,C,C,5.0
132,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
132,Alternating,Explicit Opponent Simulation,D,C,C,5.0
133,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
133,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
134,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
134,Alternating,Explicit Opponent Simulation,D,C,C,5.0
135,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
135,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
136,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
136,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
137,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
137,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
138,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
138,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
139,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
139,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
140,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
140,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
141,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
141,Alternating,Explicit Opponent Simulation,D,D,D,1.0
142,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
142,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
143,Grim Trigger,Prompt-Based Opponent Reasoning,C,,C,3.0
143,Grim Trigger,Explicit Opponent Simulation,D,C,C,5.0
144,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
144,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
145,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
145,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
146,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
146,Alternating,Explicit Opponent Simulation,D,D,D,1.0
147,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
147,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
148,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
148,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
149,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
149,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
150,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
150,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
151,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
151,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
152,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
152,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
153,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
153,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
154,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
154,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
155,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
155,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
156,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
156,Alternating,Explicit Opponent Simulation,D,C,C,5.0
157,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
157,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
158,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
158,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
159,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
159,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
160,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
160,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
161,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
161,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
162,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
162,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
163,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
163,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
164,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
164,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
165,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
165,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
166,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
166,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
167,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
167,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
168,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
168,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
169,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
169,Alternating,Explicit Opponent Simulation,D,C,C,5.0
170,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
170,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
171,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
171,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
172,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
172,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
173,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
173,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
174,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
174,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
175,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
175,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
176,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
176,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
177,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
177,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
178,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
178,Alternating,Explicit Opponent Simulation,D,C,C,5.0
179,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
179,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
180,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
180,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
181,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
181,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
182,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
182,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
183,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
183,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
184,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
184,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
185,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
185,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
186,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
186,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
187,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
187,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
188,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
188,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
189,Grim Trigger,Prompt-Based Opponent Reasoning,C,,C,3.0
189,Grim Trigger,Explicit Opponent Simulation,D,C,C,5.0
190,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
190,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
191,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
191,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
192,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
192,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
193,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
193,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
194,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
194,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
195,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
195,Alternating,Explicit Opponent Simulation,D,D,D,1.0
196,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
196,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
197,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
197,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
198,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
198,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
199,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
199,Alternating,Explicit Opponent Simulation,D,D,D,1.0
200,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
200,Alternating,Explicit Opponent Simulation,D,C,C,5.0
201,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
201,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
202,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
202,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
203,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
203,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
204,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
